"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 15:57:11 IST 2024","Tue Mar 12 15:57:26 IST 2024","14961","","webdriveruniversity - contact us page","","","","valid submission - submit all information","Validate contact us page by submitting all data"
"passed","Wed Mar 13 12:41:25 IST 2024","Wed Mar 13 12:41:26 IST 2024","617","","advance elements","","","","""before each"" hook for advance elements",""
"passed","Tue Mar 12 15:57:26 IST 2024","Tue Mar 12 15:57:30 IST 2024","3787","","webdriveruniversity - contact us page","","","","invalid submission - dont submit all information","Validate contact us page by not submitting all data"
"broken","Wed Mar 13 19:36:35 IST 2024","Wed Mar 13 19:36:38 IST 2024","2530","","webdriveruniversity - contact us page","","","","valid submission - submit all information","Validate contact us page by submitting all data"
"passed","Tue Mar 12 15:57:26 IST 2024","Tue Mar 12 15:57:27 IST 2024","581","","webdriveruniversity - contact us page","","","","""before each"" hook for webdriveruniversity - contact us page",""
"passed","Mon Mar 04 11:47:55 IST 2024","Mon Mar 04 11:47:55 IST 2024","78","","webdriver university-contact us page","","","","""before each"" hook for webdriver university-contact us page",""
"passed","Tue Mar 12 16:02:13 IST 2024","Tue Mar 12 16:02:39 IST 2024","26336","","add items to basket","","","","add specific 'skincare products' to basket & validate cart total",""
"passed","Wed Mar 13 19:36:38 IST 2024","Wed Mar 13 19:36:38 IST 2024","788","","webdriveruniversity - contact us page","","","","""before each"" hook for webdriveruniversity - contact us page",""
"passed","Wed Mar 13 12:41:49 IST 2024","Wed Mar 13 12:42:05 IST 2024","15590","","wait commands - examples","","","","waitUntil",""
"passed","Wed Mar 13 12:41:49 IST 2024","Wed Mar 13 12:41:52 IST 2024","2430","","wait commands - examples","","","","""before each"" hook for wait commands - examples",""
"passed","Wed Mar 13 19:36:26 IST 2024","Wed Mar 13 19:36:27 IST 2024","524","","webdriveruniversity - contact us page","","","","""before each"" hook for webdriveruniversity - contact us page",""
"passed","Wed Mar 13 12:42:00 IST 2024","Wed Mar 13 12:42:01 IST 2024","456","","locating elements","","","","""before each"" hook for locating elements",""
"passed","Wed Mar 13 12:34:55 IST 2024","Wed Mar 13 12:35:06 IST 2024","10453","","add items to basket","","","","add specific 'skincare products' to basket & validate cart total",""
"passed","Thu Mar 07 15:36:02 IST 2024","Thu Mar 07 15:36:10 IST 2024","7355","","add items to basket","","","","add specific 'skincare products' to basket & validate cart total",""
"passed","Wed Mar 13 12:42:00 IST 2024","Wed Mar 13 12:42:01 IST 2024","982","","locating elements","","","","$$-locate multiple elements",""
"passed","Tue Mar 12 16:02:21 IST 2024","Tue Mar 12 16:02:44 IST 2024","22809","","add items to basket","","","","add specific 'skincare products' to basket & validate cart total",""
"passed","Mon Mar 04 11:47:55 IST 2024","Mon Mar 04 11:48:03 IST 2024","8227","","webdriver university-contact us page","","","","invalid submission-when all fields are not given",""
"passed","Tue Mar 12 15:57:01 IST 2024","Tue Mar 12 15:57:22 IST 2024","21244","","add items to basket","","","","add specific 'skincare products' to basket & validate cart total",""
"passed","Wed Mar 13 12:41:50 IST 2024","Wed Mar 13 12:42:00 IST 2024","10584","","locating elements","","","","$-locate element",""
"passed","Wed Mar 13 19:36:38 IST 2024","Wed Mar 13 19:36:43 IST 2024","5003","","webdriveruniversity - contact us page","","","","invalid submission - dont submit all information","Validate contact us page by not submitting all data"
"failed","Tue Mar 12 15:57:17 IST 2024","Tue Mar 12 15:57:33 IST 2024","15612","","webdriveruniversity - contact us page","","","","invalid submission - dont submit all information","Validate contact us page by not submitting all data"
"passed","Tue Mar 05 17:43:46 IST 2024","Tue Mar 05 17:43:54 IST 2024","8477","","webdriver university-contact us page","","","","invalid submission-when all fields are not given",""
"broken","Wed Mar 13 19:36:23 IST 2024","Wed Mar 13 19:36:26 IST 2024","3193","","webdriveruniversity - contact us page","","","","valid submission - submit all information","Validate contact us page by submitting all data"
"passed","Wed Mar 13 12:41:25 IST 2024","Wed Mar 13 12:41:32 IST 2024","6262","","advance elements","","","","JS Execute",""
"failed","Wed Mar 13 19:36:26 IST 2024","Wed Mar 13 19:36:40 IST 2024","13634","","webdriveruniversity - contact us page","","","","invalid submission - dont submit all information","Validate contact us page by not submitting all data"
"passed","Wed Mar 06 18:18:01 IST 2024","Wed Mar 06 18:18:03 IST 2024","2104","","webdriver university-contact us page","","","","""before each"" hook for webdriver university-contact us page",""
"passed","Mon Mar 04 11:47:43 IST 2024","Mon Mar 04 11:47:55 IST 2024","11895","","webdriver university-contact us page","","","","valid submission-submit all information",""
"passed","Tue Mar 12 15:56:49 IST 2024","Tue Mar 12 15:57:33 IST 2024","44424","","webdriveruniversity - contact us page","","","","valid submission - submit all information","Validate contact us page by submitting all data"
"passed","Tue Mar 12 15:57:18 IST 2024","Tue Mar 12 15:57:21 IST 2024","3737","","webdriveruniversity - contact us page","","","","""before each"" hook for webdriveruniversity - contact us page",""
"passed","Wed Mar 06 18:18:01 IST 2024","Wed Mar 06 18:18:13 IST 2024","11856","","webdriver university-contact us page","","","","valid submission-submit all information",""
